symbol,period,variant,cost_mult,trades,net_pnl,fees,funding,win_rate,profit_factor,max_drawdown
1000PEPEUSDT,development,opposite_break,1.0,713,-869.6114524851249,713.1243381512722,0.45720215417815674,23.56241234221599,0.6421944247401248,910.8156467103862
1000PEPEUSDT,development,peak_exit_trend_entry,1.0,743,-920.8763879948297,743.0497826460037,0.03917752708184985,21.668909825033648,0.44927024014430716,930.6445644840496
1000PEPEUSDT,development,peak_reverse,1.0,2513,-2947.099477220351,2513.1267858059286,0.6220919318145117,26.78074015121369,0.47767061074700684,2971.425103345973
1000PEPEUSDT,development,opposite_break,2.0,713,-1725.3849203513096,1426.2485219563766,0.4576407719756709,18.513323983169705,0.4451111443156112,1762.1695542457062
1000PEPEUSDT,development,peak_exit_trend_entry,2.0,743,-1812.5418148461345,1486.0958157270436,0.03932483109604443,14.939434724091521,0.24508730335568438,1818.46201360931
1000PEPEUSDT,development,peak_reverse,2.0,2513,-5962.8764811471365,5026.25350879589,0.6225290887281528,17.19060883406287,0.2552028736142693,5982.365637674513
1000PEPEUSDT,validation,opposite_break,1.0,271,-273.17065632697216,271.00542989005646,-0.7243317766019595,31.365313653136532,0.6707608157435987,375.5834899568539
1000PEPEUSDT,validation,peak_exit_trend_entry,1.0,345,-525.3115595863042,345.04159028677304,-0.2903431178073049,20.0,0.29825398786739415,530.7486392326097
1000PEPEUSDT,validation,peak_reverse,1.0,1098,-1357.0241301712413,1098.0049020036633,0.2442156876987165,27.50455373406193,0.40142323406420166,1378.9639049591058
1000PEPEUSDT,validation,opposite_break,2.0,271,-598.378256374392,542.0110654885151,-0.7241026146628765,25.461254612546124,0.43552990774965916,681.5047941548469
1000PEPEUSDT,validation,peak_exit_trend_entry,2.0,345,-939.3643055267795,690.0782234709862,-0.2903140893012254,11.594202898550725,0.1467810294701835,940.4115507823265
1000PEPEUSDT,validation,peak_reverse,2.0,1098,-2674.630850864546,2196.009877820217,0.24444338570998275,17.21311475409836,0.1895375418125044,2674.630850864546
1000PEPEUSDT,full,opposite_break,1.0,984,-1146.7937183385134,984.1277612331619,-0.2671296224238027,25.711382113821138,0.6486664301312526,1178.3220857316812
1000PEPEUSDT,full,peak_exit_trend_entry,1.0,1088,-1446.1879475811343,1088.091372932776,-0.251165590725455,21.139705882352942,0.4025695488040338,1458.0111139901967
1000PEPEUSDT,full,peak_reverse,1.0,3611,-4308.1352169180045,3611.129681001426,0.8663076195132277,27.000830794793686,0.4555843725054288,4353.903425407916
1000PEPEUSDT,full,opposite_break,2.0,984,-2327.7719776035715,1968.2555746312007,-0.26646184268720574,20.426829268292682,0.442249963129954,2346.3439422388615
1000PEPEUSDT,full,peak_exit_trend_entry,2.0,1088,-2751.9061203729143,2176.1740391980316,-0.250989258205181,13.878676470588236,0.21418124934758878,2758.873564391637
1000PEPEUSDT,full,peak_reverse,2.0,3611,-8641.516132889557,7222.259373802408,0.8669724744381357,17.197452229299362,0.23595232646976258,8661.005289416933
龙虾USDT,development,opposite_break,1.0,531,-1366.1842416661757,531.7047688267305,5.263592889506756,31.638418079096045,0.7727233287680717,1863.567103888216
