symbol,period,cost_mult,trades,net_pnl,max_drawdown,fees,funding
1000PEPEUSDT,development,1.0,25,-107.32590154754872,179.21666009986808,25.072818830649208,-0.452944274606149
1000PEPEUSDT,development,2.0,14,-122.64733344659061,125.62681763722591,28.044566826053874,-0.4458470629434933
1000PEPEUSDT,validation,1.0,6,-18.25366856955214,23.505151940571558,5.998627339984566,0.12545095705176704
1000PEPEUSDT,validation,2.0,2,-4.316759776672838,10.938569814356747,4.000415653820566,0.09930969771406566
1000PEPEUSDT,full,1.0,31,-125.57957011710089,199.14410850472112,31.07144617063378,-0.32749331755438194
1000PEPEUSDT,full,2.0,16,-126.96409322326346,131.61896610987483,32.04498247987444,-0.34653736522942763
龙虾USDT,development,1.0,60,-430.20778076451126,681.0381673752443,60.11810325933842,-0.15709254951084595
龙虾USDT,development,2.0,38,-241.02729766502398,495.7451382970785,76.23791717874074,0.6423162343169818
龙虾USDT,validation,1.0,22,-199.00983275696984,268.88086869779954,21.998099590179102,0.05216846113960568
龙虾USDT,validation,2.0,16,-188.53737619752837,254.2163742994934,32.01909936674579,0.05218360969045612
龙虾USDT,full,1.0,82,-629.2176135214813,878.3815527408344,82.11620284951752,-0.10492408837124026
龙虾USDT,full,2.0,54,-429.5646738625523,678.1036716762646,108.25701654548652,0.6944998440074379
