entry_time,exit_time,side,entry_price,exit_price,reason,net_pnl
1786356000000,1786362360000,LONG,0.0272444478,0.030970804600000002,structural_stop,134.63813157556467
1786368300000,1786369500000,LONG,0.0319503888,0.03076754526,structural_stop,-38.98423527353129
1786376400000,1786377600000,SHORT,0.0280953798,0.02881716228,structural_stop,-26.874407223710097
1786386000000,1786386060000,SHORT,0.0287852418,0.029160405914999996,structural_stop,-15.04624368710345
1786415400000,1786415820000,SHORT,0.0272375514,0.02786817252,structural_stop,-25.175788889745828
1786485000000,1786491780000,SHORT,0.0199270138,0.019334266079999995,structural_stop,27.775684087698338
1786500600000,1786506300000,SHORT,0.018762246800000004,0.01852050336,structural_stop,10.897452315785776
1786584300000,1786584720000,SHORT,0.021419715199999998,0.021634200975,structural_stop,-12.023488116919598
1786668900000,1786675140000,LONG,0.0197669526,0.019805838040000003,structural_stop,-0.034772716559046124
1786698300000,1786699200000,LONG,0.0194658924,0.01929519019,structural_stop,-10.760528635717813
1786708500000,1786708860000,LONG,0.0193248642,0.019170065219999997,structural_stop,-10.230694430753227
1786839300000,1786840740000,SHORT,0.019231152999999997,0.019445863395,structural_stop,-13.175882454629809
1786932000000,1786933560000,SHORT,0.021006797799999997,0.02119448805,structural_stop,-10.94367347364119
1787170200000,1787170800000,SHORT,0.020605878,0.020764001969999998,structural_stop,-9.681404984053414
1787213100000,1787213280000,SHORT,0.020810837000000002,0.02093298576,structural_stop,-7.875347962217926
1787281200000,1787282460000,LONG,0.0235507092,0.02310552797,structural_stop,-20.884189218811194
1787335200000,1787354220000,SHORT,0.0224175156,0.022048683854999997,structural_stop,14.518506481824538
1787376600000,1787376960000,SHORT,0.022290541,0.023290082084999997,structural_stop,-46.886332103155155
1787421600000,1787427720000,SHORT,0.0223915208,0.022354620029999998,structural_stop,-0.3503723976622126
1787491800000,1787496180000,LONG,0.0246419274,0.024538166385,structural_stop,-6.206540028398858
1787508000000,1787512860000,SHORT,0.0260967796,0.026292332414999998,structural_stop,-9.50086297295457
1787561400000,1787571120000,LONG,0.022560511199999998,0.023339056255000004,structural_stop,32.4746846846718
1787594700000,1787608500000,LONG,0.025490097,0.026874499025,structural_stop,51.40567031090552
1787648700000,1787657280000,LONG,0.025940187,0.026774793970000002,structural_stop,30.14211073459116
1787688600000,1787690400000,LONG,0.0351580302,0.034593479919999996,structural_stop,-18.041448468862345
1787706600000,1787708880000,SHORT,0.0424395104,0.044379049035,structural_stop,-47.746950314370295
1787760000000,1787762760000,LONG,0.0365433072,0.035043639870000004,structural_stop,-42.99704644876794
1787794800000,1787797020000,SHORT,0.03014397,0.030758475464999997,structural_stop,-22.406070284206034
1787801100000,1787807460000,LONG,0.030631125,0.03023275224,structural_stop,-15.042190769682731
1787817300000,1787819880000,LONG,0.031635325799999996,0.031206182515000003,structural_stop,-15.75444409112083
1787847900000,1787848800000,SHORT,0.033016395399999995,0.03380080881,structural_stop,-25.782057789688448
1787918400000,1787918940000,LONG,0.0567453468,0.055389394905,structural_stop,-25.87148937302818
1787956500000,1787961660000,SHORT,0.062203556800000004,0.06280713391500001,structural_stop,-10.629441300774676
1787974500000,1787975160000,LONG,0.063082614,0.062163539804999994,structural_stop,-16.554804605988604
1787990700000,1787992860000,LONG,0.0636347244,0.06288342079999999,structural_stop,-13.794697053799181
1788028500000,1788028560000,SHORT,0.075104976,0.07566492996,structural_stop,-9.463072938868898
1788036000000,1788047040000,LONG,0.0753920754,0.07443898422499999,structural_stop,-14.629153379494362
1788082200000,1788088080000,SHORT,0.0727714428,0.0725920155,structural_stop,0.46809353215141725
1788158700000,1788159000000,SHORT,0.06755648600000001,0.06861246975,structural_stop,-17.646754239851802
1788226800000,1788228060000,LONG,0.0655571088,0.06371535438,structural_stop,-30.065799411520025
1788289500000,1788292380000,SHORT,0.0700079956,0.07144423599000001,structural_stop,-22.535891908752347
1788293100000,1788296340000,SHORT,0.06874624800000001,0.0678570687,structural_stop,10.94715719321896
1788301800000,1788304500000,SHORT,0.06350729599999999,0.06567705778499999,structural_stop,-36.199716939373424
1788315900000,1788316200000,SHORT,0.06338032140000001,0.06450632368499999,structural_stop,-19.783568501831276
1788357900000,1788360840000,SHORT,0.069426112,0.070189910175,structural_stop,-13.012599599052828
1788370800000,1788375900000,SHORT,0.0703089354,0.06973174355999999,structural_stop,6.217576166570782
1788404400000,1788408960000,SHORT,0.068261345,0.068577837825,structural_stop,-6.539291337013656
1788455100000,1788461640000,LONG,0.0740618094,0.07391019000499999,structural_stop,-4.045153593088026
1788523800000,1788525000000,LONG,0.0773094588,0.07685080176499999,structural_stop,-7.926808764117284
1788623100000,1788624120000,LONG,0.08815862819999999,0.08720055639999999,structural_stop,-12.906370452121006
1788632100000,1788632280000,LONG,0.08704540559999999,0.08655531047500001,structural_stop,-7.624708466807105
1788645000000,1788645360000,LONG,0.0887807526,0.08775879473,structural_stop,-13.499518558147395
1788655500000,1788657960000,LONG,0.08883476339999999,0.088421437175,structural_stop,-6.64810039416374
1788688200000,1788688440000,SHORT,0.08391421380000001,0.08435581779000001,structural_stop,-7.267827391478192
