Sep 22 14:06:03 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:05 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:07 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:09 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:10 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:12 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:14 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:16 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:17 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:19 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:20 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:22 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:24 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:26 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:27 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:29 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:31 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:32 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:34 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:36 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
